"Row","Imbalance_Ratio","Sample_Size","Balance_Method","Model_Type","Threshold","Accuracy","Precision","Recall","F1_Score","TP","TN","FP","FN"
199,0.1,3000,"Undersample","DecisionTree",0.6,0.53,0.1172,0.5667,0.1942,51,426,384,39
200,0.1,3000,"Undersample","DecisionTree",0.7,0.5944,0.117,0.4667,0.1871,42,493,317,48
201,0.1,3000,"SMOTE","Logistic",0.3,0.1189,0.101,0.9889,0.1833,89,18,792,1
202,0.1,3000,"SMOTE","Logistic",0.4,0.3322,0.1087,0.7889,0.1911,71,228,582,19
203,0.1,3000,"SMOTE","Logistic",0.5,0.6756,0.1055,0.3,0.1561,27,581,229,63
204,0.1,3000,"SMOTE","Logistic",0.6,0.8556,0.1,0.0556,0.0715,5,765,45,85
205,0.1,3000,"SMOTE","Logistic",0.7,0.8978,0,0,0,0,808,2,90
206,0.1,3000,"SMOTE","DecisionTree",0.3,0.9,0,0,0,0,810,0,90
207,0.1,3000,"SMOTE","DecisionTree",0.4,0.9,0,0,0,0,810,0,90
208,0.1,3000,"SMOTE","DecisionTree",0.5,0.9,0,0,0,0,810,0,90
209,0.1,3000,"SMOTE","DecisionTree",0.6,0.9,0,0,0,0,810,0,90
210,0.1,3000,"SMOTE","DecisionTree",0.7,0.9,0,0,0,0,810,0,90
211,0.1,5000,"None","Logistic",0.3,0.9,0,0,0,0,1350,0,150
212,0.1,5000,"None","Logistic",0.4,0.9,0,0,0,0,1350,0,150
213,0.1,5000,"None","Logistic",0.5,0.9,0,0,0,0,1350,0,150
214,0.1,5000,"None","Logistic",0.6,0.9,0,0,0,0,1350,0,150
215,0.1,5000,"None","Logistic",0.7,0.9,0,0,0,0,1350,0,150
216,0.1,5000,"None","DecisionTree",0.3,0.9,0,0,0,0,1350,0,150
217,0.1,5000,"None","DecisionTree",0.4,0.9,0,0,0,0,1350,0,150
218,0.1,5000,"None","DecisionTree",0.5,0.9,0,0,0,0,1350,0,150
219,0.1,5000,"None","DecisionTree",0.6,0.9,0,0,0,0,1350,0,150
220,0.1,5000,"None","DecisionTree",0.7,0.9,0,0,0,0,1350,0,150
221,0.1,5000,"Undersample","Logistic",0.3,0.1007,0.0995,0.9933,0.1809,149,2,1348,1
222,0.1,5000,"Undersample","Logistic",0.4,0.248,0.1056,0.8733,0.1884,131,241,1109,19
223,0.1,5000,"Undersample","Logistic",0.5,0.6713,0.0907,0.2533,0.1336,38,969,381,112
224,0.1,5000,"Undersample","Logistic",0.6,0.8833,0.1429,0.0333,0.054,5,1320,30,145
225,0.1,5000,"Undersample","Logistic",0.7,0.8993,0,0,0,0,1349,1,150
226,0.1,5000,"Undersample","DecisionTree",0.3,0.1573,0.1004,0.9333,0.1813,140,96,1254,10
227,0.1,5000,"Undersample","DecisionTree",0.4,0.6367,0.1089,0.3667,0.1679,55,900,450,95
228,0.1,5000,"Undersample","DecisionTree",0.5,0.6367,0.1089,0.3667,0.1679,55,900,450,95
229,0.1,5000,"Undersample","DecisionTree",0.6,0.6647,0.1121,0.34,0.1686,51,946,404,99
230,0.1,5000,"Undersample","DecisionTree",0.7,0.8167,0.1118,0.12,0.1158,18,1207,143,132
231,0.1,5000,"SMOTE","Logistic",0.3,0.1,0.1,1,0.1818,150,0,1350,0
232,0.1,5000,"SMOTE","Logistic",0.4,0.1367,0.1005,0.96,0.182,144,61,1289,6
233,0.1,5000,"SMOTE","Logistic",0.5,0.558,0.0973,0.4133,0.1575,62,775,575,88
234,0.1,5000,"SMOTE","Logistic",0.6,0.8807,0.0857,0.02,0.0324,3,1318,32,147
235,0.1,5000,"SMOTE","Logistic",0.7,0.9,0,0,0,0,1350,0,150
236,0.1,5000,"SMOTE","DecisionTree",0.3,0.9,0,0,0,0,1350,0,150
237,0.1,5000,"SMOTE","DecisionTree",0.4,0.9,0,0,0,0,1350,0,150
238,0.1,5000,"SMOTE","DecisionTree",0.5,0.9,0,0,0,0,1350,0,150
239,0.1,5000,"SMOTE","DecisionTree",0.6,0.9,0,0,0,0,1350,0,150
240,0.1,5000,"SMOTE","DecisionTree",0.7,0.9,0,0,0,0,1350,0,150
241,0.2,1000,"None","Logistic",0.3,0.7533,0.1111,0.0333,0.0512,2,224,16,58
242,0.2,1000,"None","Logistic",0.4,0.7867,0,0,0,0,236,4,60
243,0.2,1000,"None","Logistic",0.5,0.8,0,0,0,0,240,0,60
244,0.2,1000,"None","Logistic",0.6,0.8,0,0,0,0,240,0,60
245,0.2,1000,"None","Logistic",0.7,0.8,0,0,0,0,240,0,60
246,0.2,1000,"None","DecisionTree",0.3,0.8,0,0,0,0,240,0,60
247,0.2,1000,"None","DecisionTree",0.4,0.8,0,0,0,0,240,0,60
248,0.2,1000,"None","DecisionTree",0.5,0.8,0,0,0,0,240,0,60
249,0.2,1000,"None","DecisionTree",0.6,0.8,0,0,0,0,240,0,60
250,0.2,1000,"None","DecisionTree",0.7,0.8,0,0,0,0,240,0,60
251,0.2,1000,"Undersample","Logistic",0.3,0.2267,0.2014,0.9667,0.3334,58,10,230,2
252,0.2,1000,"Undersample","Logistic",0.4,0.34,0.2,0.7667,0.3172,46,56,184,14
253,0.2,1000,"Undersample","Logistic",0.5,0.4933,0.1892,0.4667,0.2692,28,120,120,32
254,0.2,1000,"Undersample","Logistic",0.6,0.6633,0.194,0.2167,0.2047,13,186,54,47
255,0.2,1000,"Undersample","Logistic",0.7,0.76,0,0,0,0,228,12,60
256,0.2,1000,"Undersample","DecisionTree",0.3,0.4833,0.1895,0.4833,0.2723,29,116,124,31
257,0.2,1000,"Undersample","DecisionTree",0.4,0.4833,0.1895,0.4833,0.2723,29,116,124,31
258,0.2,1000,"Undersample","DecisionTree",0.5,0.4833,0.1895,0.4833,0.2723,29,116,124,31
259,0.2,1000,"Undersample","DecisionTree",0.6,0.4833,0.1895,0.4833,0.2723,29,116,124,31
260,0.2,1000,"Undersample","DecisionTree",0.7,0.4833,0.1895,0.4833,0.2723,29,116,124,31
261,0.2,1000,"SMOTE","Logistic",0.3,0.2167,0.2034,1,0.338,60,5,235,0
262,0.2,1000,"SMOTE","Logistic",0.4,0.3567,0.2218,0.8833,0.3546,53,54,186,7
263,0.2,1000,"SMOTE","Logistic",0.5,0.55,0.2,0.4167,0.2703,25,140,100,35
264,0.2,1000,"SMOTE","Logistic",0.6,0.7233,0.1892,0.1167,0.1444,7,210,30,53
265,0.2,1000,"SMOTE","Logistic",0.7,0.7667,0.0833,0.0167,0.0278,1,229,11,59
266,0.2,1000,"SMOTE","DecisionTree",0.3,0.7367,0.1481,0.0667,0.092,4,217,23,56
267,0.2,1000,"SMOTE","DecisionTree",0.4,0.7367,0.1481,0.0667,0.092,4,217,23,56
268,0.2,1000,"SMOTE","DecisionTree",0.5,0.7367,0.1481,0.0667,0.092,4,217,23,56
269,0.2,1000,"SMOTE","DecisionTree",0.6,0.7367,0.1481,0.0667,0.092,4,217,23,56
270,0.2,1000,"SMOTE","DecisionTree",0.7,0.79,0.2857,0.0333,0.0596,2,235,5,58
271,0.2,2000,"None","Logistic",0.3,0.7967,0,0,0,0,478,2,120
272,0.2,2000,"None","Logistic",0.4,0.8,0,0,0,0,480,0,120
273,0.2,2000,"None","Logistic",0.5,0.8,0,0,0,0,480,0,120
274,0.2,2000,"None","Logistic",0.6,0.8,0,0,0,0,480,0,120
